geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
varDE	0.127	0.057	0.147	0.063	0.086	0.038	0.103	0.045	0.304217152716498	5.64979460698459e-08	2.46637986728897e-05	0.184980613759805
EE	0.159	0.108	0.17	0.139	0.158	0.117	0.187	0.114	0.162142887892224	0.0277034602498808	0.135235828070055	0.02466379301997
EE	0.509	0.545	0.459	0.58	0.487	0.52	0.432	0.592	0.539099683478275	0.315062333464276	0.410545626709485	0.444505429151525
EE	0.28	0.182	0.391	0.291	0.267	0.177	0.418	0.283	0.4485408049843	0.00496219603919526	0.566126031141177	0.00084324083887378
EE	0.204	0.253	0.317	0.413	0.209	0.28	0.394	0.417	0.141939846501347	0.00261780561535181	0.0807219214139938	0.0271565411635726
EE	0.324	0.294	0.731	0.46	0.319	0.277	0.716	0.494	0.971953843349824	0.908059772896122	0.969413550448343	0.880622220294458
EE	0.407	0.563	0.489	0.978	0.324	0.494	0.373	0.968	0.498440964765321	0.000280831333244565	0.650567224077877	8.65984980938005e-05
EE	0.465	0.269	0.38	0.752	0.446	0.265	0.367	0.742	0.230627022711758	0.000193133168930399	0.2411345610605	5.17344888076745e-05
EE	0.199	0.159	0.31	0.328	0.191	0.195	0.314	0.283	0.250341276795387	0.0328838770062654	0.157051847709174	0.010454473054283
EE	0.819	0.935	0.445	0.192	0.833	0.934	0.393	0.141	0.2949322884762	0.0411042134564963	0.346583381910747	0.0123635570836599
varDE	0.738	0.529	0.431	0.894	0.751	0.516	0.443	0.86	0.140232946499388	2.189079833866e-05	0.00310197415108937	0.426208301707716
EE	0.226	0.461	0.205	0.301	0.198	0.439	0.204	0.309	0.0504907380763295	2.28079253491022e-10	0.082101928313807	6.41170184947915e-08
EE	0.534	0.72	0.143	0.123	0.543	0.717	0.155	0.156	0.222482259207498	0.0353965231699728	0.230942677122448	0.0115916190278072
meanDE	0.227	0.161	0.188	0.318	0.242	0.15	0.17	0.36	0.246833458474771	0.0028234314011152	0.496323508323243	0.000597459470470113
EE	0.301	0.233	0.406	0.104	0.307	0.235	0.426	0.112	0.812154272546392	0.124780874160738	0.198368537691796	0.196803741642503
EE	0.207	0.14	0.274	0.279	0.217	0.153	0.251	0.266	0.129455838961685	1.48664122019514e-05	0.12185348357299	4.42639362904213e-06
EE	0.233	0.158	0.481	0.629	0.197	0.127	0.482	0.616	0.987221627860732	0.544006639227759	0.445890475928345	0.826399328867377
meanDE	0.027	0.021	0.009	0.013	0.009	0.011	0.008	0.008	0.000693841172262612	7.2864394272077e-27	0.00874459460365843	9.54163555311717e-24
meanDE	0.632	0.504	0.465	0.326	0.634	0.525	0.49	0.358	0.573329135419943	0.174553554383173	0.749722828043011	0.105375844802974
varDE	0.171	0.193	0.083	0.008	0.117	0.125	0.044	0.012	0.115212424216183	8.89740385828006e-07	0.00387063040880836	1.19037098453986e-05
EE	0.321	0.288	0.409	0.845	0.246	0.26	0.391	0.862	0.240758044765076	0.00565795689186479	0.242281966597468	0.00596805867399346
varDE	0.209	0.26	0.254	0.136	0.2	0.259	0.247	0.118	0.391169842887736	4.92864552710359e-05	4.64865206521222e-05	0.614650332083784
EE	0.233	0.244	0.253	0.61	0.21	0.215	0.199	0.553	0.218735747943364	6.22786693013938e-12	0.262753510607939	2.79427755530592e-07
EE	0.162	0.13	0.153	0.676	0.193	0.163	0.149	0.622	0.0738111189246874	9.67328714897972e-06	0.327393197331354	4.32716843478081e-07
