geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.783	0.258	0.8	0.285	0.704	0.252	0.828111204316955	0.27840452480558	0.388389641670429
EE	0.065	0.175	0.084	0.202	0.077	0.182	0.239757704383733	0.0139573884638956	0.269933322322603
EE	0.489	0.379	0.359	0.377	0.351	0.395	0.0472569392278387	4.76557142106516e-10	0.631675129984338
EE	0.759	0.959	0.748	0.964	0.802	0.975	0.630377227289884	0.049079594531132	0.641319012187468
EE	0.946	0.932	0.97	0.956	0.942	0.924	0.936366378292586	0.378136514886281	0.760677361495985
EE	0.482	0.761	0.452	0.735	0.464	0.69	0.512596432877237	0.0551266648568441	0.0561029190720662
EE	0.751	0.494	0.799	0.524	0.761	0.476	0.853874927071828	0.968075253433551	0.982470868760835
varDE	0.138	0.042	0.115	0.031	0.12	0.047	0.862656946937202	1.15885992584567e-16	0.0324406751768522
meanDE	0.032	0.092	0.055	0.126	0.047	0.102	0.18105595900192	7.17041417957875e-08	0.256402039885172
EE	0.268	0.307	0.238	0.242	0.232	0.248	0.243908990990087	1.96129437253479e-18	0.385714444467294
meanDE	0.263	0.241	0.236	0.233	0.222	0.227	0.225040345527402	2.81537160157632e-26	0.119699041357729
EE	0.947	0.374	0.942	0.44	0.959	0.394	0.554335370239379	0.297434961596624	0.287812383054433
EE	0.114	0.132	0.109	0.13	0.078	0.093	0.201029326033163	2.46409790625358e-10	0.289704740403133
EE	0.405	0.604	0.402	0.556	0.445	0.596	0.650551355162648	0.0369763041546936	0.773901660690098
EE	0.911	0.926	0.927	0.957	0.878	0.923	0.65864263762148	0.112373618171718	0.82843773263615
EE	0.901	0.869	0.817	0.847	0.881	0.86	0.93386181440038	0.647047675521718	0.959986253969323
EE	0.994	0.952	0.987	0.955	0.994	0.933	0.82642385397051	0.78666653277832	0.962302347939655
EE	0.168	0.815	0.171	0.831	0.184	0.851	0.215923518484681	0.00218690263251259	0.0807232219330041
varDE	0.266	0.57	0.246	0.531	0.257	0.531	0.272680971901807	1.49087951880858e-14	0.1729517372874
EE	0.125	0.102	0.16	0.111	0.122	0.089	0.207733904737873	0.00102408769970075	0.130604597299396
meanDE	0.006	0.143	0.008	0.166	0.011	0.145	0.00769062103180404	4.78659582478994e-08	0.120744494540525
meanDE	0.536	0.966	0.575	0.96	0.594	0.97	0.772406071655926	0.667544876531917	0.907397407891933
varDE	0.062	0.065	0.038	0.037	0.015	0.021	0.324547210215	2.08757109128307e-11	0.681935318707691
varDE	0.625	0.644	0.641	0.654	0.667	0.683	0.874270396362367	0.000211614966601196	0.0130034876090203
varDE	0.3	0.001	0.318	0.004	0.236	0.001	0.781874221494442	1.13981286651304e-11	0.000810116830612649
EE	0.652	0.624	0.718	0.683	0.591	0.561	0.896377350938114	0.2964590349601	0.461024501333913
EE	0.97	0.896	0.966	0.9	0.972	0.894	0.828126258927172	0.180958662128212	0.598455413749183
EE	0.656	0.829	0.648	0.799	0.689	0.83	0.382250086912266	0.270001290806871	0.823558227615045
varDE	0.047	0.104	0.032	0.083	0.024	0.074	0.595579862835501	1.84463493954295e-07	0.00917122338128367
meanDE	0.114	0.295	0.077	0.283	0.083	0.341	0.0608970502891867	7.19965676081748e-05	0.333612397134536
EE	0.83	0.952	0.786	0.965	0.8	0.952	0.539225048208909	0.00118783909467338	0.394072313837585
meanDE	0.096	0.127	0.105	0.136	0.113	0.146	4.09553408600635e-05	1.68546626342879e-14	0.000160709983945098
varDE	0.703	0.048	0.719	0.067	0.749	0.056	0.231487063969717	3.74577238764465e-07	0.0261882736123195
